Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_Home,Chrome 73.0.3683.75,,2019-04-17 14:49:31,2019-04-17 14:51:17,1m - 45.498s,PASSED
,,,,,,
Test Cases/001_Login_Home/001_Navigate,Chrome 73.0.3683.75,检查网站是否能成功打开，不关闭浏览器。,2019-04-17 14:49:37,2019-04-17 14:49:45,7.770s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:49:37,2019-04-17 14:49:37,0.010s,PASSED
openBrowser,Chrome 73.0.3683.75,,2019-04-17 14:49:38,2019-04-17 14:49:41,3.536s,PASSED
navigateToUrl,Chrome 73.0.3683.75,,2019-04-17 14:49:41,2019-04-17 14:49:43,1.569s,PASSED
comment,Chrome 73.0.3683.75,,2019-04-17 14:49:43,2019-04-17 14:49:43,0.023s,PASSED
"Statement - item = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/button_ login), 20, STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-17 14:49:43,2019-04-17 14:49:43,0.104s,PASSED
Statement - If (item == true),Chrome 73.0.3683.75,,2019-04-17 14:49:43,2019-04-17 14:49:43,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:49:43,2019-04-17 14:49:43,0.005s,PASSED
,,,,,,
Test Cases/001_Login_Home/001_Login,Chrome 73.0.3683.75,错误账号和密码验证,2019-04-17 14:49:45,2019-04-17 14:49:56,11.365s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:49:45,2019-04-17 14:49:45,0.005s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:49:45,2019-04-17 14:49:50,4.327s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:49:50,2019-04-17 14:49:51,1.104s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:49:51,2019-04-17 14:49:51,0.143s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:49:51,2019-04-17 14:49:52,1.005s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:49:52,2019-04-17 14:49:52,0.329s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:49:52,2019-04-17 14:49:53,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:49:53,2019-04-17 14:49:53,0.168s,PASSED
"Statement - a = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/label_incorrect), 30, CONTINUE_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-17 14:49:53,2019-04-17 14:49:53,0.096s,PASSED
Statement - If (a),Chrome 73.0.3683.75,,2019-04-17 14:49:53,2019-04-17 14:49:53,0.004s,PASSED
closeBrowser,Chrome 73.0.3683.75,,2019-04-17 14:49:53,2019-04-17 14:49:54,0.855s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:49:54,2019-04-17 14:49:54,0.004s,PASSED
,,,,,,
Test Cases/001_Login_Home/001_Login,Chrome 73.0.3683.75,错误账号和密码验证,2019-04-17 14:49:56,2019-04-17 14:50:08,11.765s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:49:56,2019-04-17 14:49:56,0.007s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:49:56,2019-04-17 14:50:01,4.333s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:50:01,2019-04-17 14:50:02,1.002s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:50:02,2019-04-17 14:50:02,0.183s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:50:02,2019-04-17 14:50:03,1.005s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:50:03,2019-04-17 14:50:03,0.292s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:50:03,2019-04-17 14:50:04,1.003s,PASSED
