Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
002_search,Chrome 73.0.3683.75,\u9A8C\u8BC1\u7F16\u8F91\u7528\u6237\u6210\u529F,2019-04-17 14:22:12,2019-04-17 14:26:43,4m - 31.276s,FAILED
,,,,,,
Test Cases/001_Login_Home/002_Login,Chrome 73.0.3683.75,登录（记住密码）,2019-04-17 14:22:13,2019-04-17 14:22:28,15.407s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:22:13,2019-04-17 14:22:13,0.011s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:22:13,2019-04-17 14:22:21,7.584s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:22:21,2019-04-17 14:22:22,1.015s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:22:22,2019-04-17 14:22:22,0.199s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:22:22,2019-04-17 14:22:23,1.004s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:22:23,2019-04-17 14:22:23,0.226s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:22:23,2019-04-17 14:22:24,1.004s,PASSED
"Statement - R = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementChecked(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/remember_password), 10)",Chrome 73.0.3683.75,,2019-04-17 14:22:24,2019-04-17 14:22:24,0.060s,PASSED
Statement - If (R),Chrome 73.0.3683.75,,2019-04-17 14:22:24,2019-04-17 14:22:24,0.017s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:22:24,2019-04-17 14:22:24,0.113s,PASSED
"Statement - a = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(homepage/a_homepage), 40)",Chrome 73.0.3683.75,,2019-04-17 14:22:24,2019-04-17 14:22:26,1.212s,PASSED
Statement - If (a),Chrome 73.0.3683.75,,2019-04-17 14:22:26,2019-04-17 14:22:26,0.298s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:22:26,2019-04-17 14:22:26,0.011s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/001_Enter_User",Chrome 73.0.3683.75,从系统设置进入人员管理,2019-04-17 14:22:28,2019-04-17 14:22:42,13.894s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:22:28,2019-04-17 14:22:28,0.003s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:22:28,2019-04-17 14:22:36,8.169s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:22:36,2019-04-17 14:22:37,1.005s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:22:37,2019-04-17 14:22:37,0.108s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:22:37,2019-04-17 14:22:38,1.003s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:22:38,2019-04-17 14:22:39,0.318s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:22:39,2019-04-17 14:22:40,1.002s,PASSED
"Statement - verify_user = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/cite_usertable), 0)",Chrome 73.0.3683.75,,2019-04-17 14:22:40,2019-04-17 14:22:40,0.034s,PASSED
Statement - If (verify_user),Chrome 73.0.3683.75,,2019-04-17 14:22:40,2019-04-17 14:22:40,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:22:40,2019-04-17 14:22:40,0.004s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/004_Searchbox",Chrome 73.0.3683.75,"1.搜索框不输入任何关键词，验证列表中显示所有用户；
2.搜索结果不匹配，，显示无数据
3.搜索结果存在，验证搜索结果条数与列表中的条数是否一致。",2019-04-17 14:22:42,2019-04-17 14:23:31,49.248s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:22:42,2019-04-17 14:22:42,0.005s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:22:42,2019-04-17 14:22:54,11.958s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:22:54,2019-04-17 14:22:55,1.003s,PASSED
"Statement - Total_First = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Search/total_list), ""innerText"")",Chrome 73.0.3683.75,,2019-04-17 14:22:55,2019-04-17 14:22:55,0.064s,PASSED
Statement - If (Total_First),Chrome 73.0.3683.75,,2019-04-17 14:22:55,2019-04-17 14:22:55,0.004s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:22:55,2019-04-17 14:22:55,0.143s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:22:55,2019-04-17 14:22:56,1.003s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:22:56,2019-04-17 14:22:57,0.107s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:22:57,2019-04-17 14:22:58,1.002s,PASSED
"Statement - Actual_First = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Search/total_list), ""innerText"")",Chrome 73.0.3683.75,,2019-04-17 14:22:58,2019-04-17 14:23:29,31.452s,FAILED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:23:29,2019-04-17 14:23:29,0.005s,PASSED
,,,,,,
