Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_Home,Chrome 73.0.3683.75,,2019-04-18 09:54:08,2019-04-18 09:56:06,1m - 58.138s,PASSED
,,,,,,
Test Cases/001_Login_Home/001_Navigate,Chrome 73.0.3683.75,检查网站是否能成功打开，不关闭浏览器。,2019-04-18 09:54:20,2019-04-18 09:54:29,9.031s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-18 09:54:20,2019-04-18 09:54:20,0.022s,PASSED
openBrowser,Chrome 73.0.3683.75,,2019-04-18 09:54:20,2019-04-18 09:54:25,4.718s,PASSED
navigateToUrl,Chrome 73.0.3683.75,,2019-04-18 09:54:25,2019-04-18 09:54:26,1.295s,PASSED
comment,Chrome 73.0.3683.75,,2019-04-18 09:54:26,2019-04-18 09:54:26,0.083s,PASSED
"Statement - item = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/button_ login), 20, STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-18 09:54:26,2019-04-18 09:54:27,0.176s,PASSED
Statement - If (item == true),Chrome 73.0.3683.75,,2019-04-18 09:54:27,2019-04-18 09:54:27,0.008s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-18 09:54:27,2019-04-18 09:54:27,0.009s,PASSED
,,,,,,
Test Cases/001_Login_Home/001_Login,Chrome 73.0.3683.75,错误账号和密码验证,2019-04-18 09:54:29,2019-04-18 09:54:43,13.654s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-18 09:54:29,2019-04-18 09:54:29,0.004s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-18 09:54:29,2019-04-18 09:54:36,6.946s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-18 09:54:36,2019-04-18 09:54:37,1.077s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-18 09:54:37,2019-04-18 09:54:37,0.138s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-18 09:54:37,2019-04-18 09:54:38,1.004s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-18 09:54:38,2019-04-18 09:54:39,0.293s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-18 09:54:39,2019-04-18 09:54:40,1.005s,PASSED
click,Chrome 73.0.3683.75,,2019-04-18 09:54:40,2019-04-18 09:54:40,0.111s,PASSED
"Statement - a = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/label_incorrect), 30, CONTINUE_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-18 09:54:40,2019-04-18 09:54:40,0.061s,PASSED
