Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
003_checkdetail,Chrome 73.0.3683.75,\u67E5\u770B\u8BE6\u60C5,2019-04-17 14:36:32,2019-04-17 14:37:08,36.583s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/008_Check_detail",Chrome 73.0.3683.75,1.检查人员详情页面数据，验证数据是否与添加的数据一致，确认没有丢失。,2019-04-17 14:36:32,2019-04-17 14:37:08,36.020s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:36:32,2019-04-17 14:36:32,0.014s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:36:33,2019-04-17 14:36:49,15.989s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:36:49,2019-04-17 14:36:49,0.221s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:36:49,2019-04-17 14:36:50,1.004s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:36:50,2019-04-17 14:36:50,0.209s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:36:50,2019-04-17 14:36:51,1.006s,PASSED
Statement - i = 1,Chrome 73.0.3683.75,,2019-04-17 14:36:51,2019-04-17 14:36:51,0.001s,PASSED
Statement - userinfo = [],Chrome 73.0.3683.75,,2019-04-17 14:36:51,2019-04-17 14:36:51,0.001s,PASSED
"Statement - For ([j = 1, j <= 5, (j++)])",Chrome 73.0.3683.75,,2019-04-17 14:36:51,2019-04-17 14:36:55,3.250s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:36:55,2019-04-17 14:36:56,1.009s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:36:56,2019-04-17 14:37:06,10.002s,PASSED
Statement - userdetail = [],Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.002s,PASSED
Statement - name = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Details/realname),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.011s,PASSED
Statement - position = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Details/position),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.010s,PASSED
Statement - mobile = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Details/mobile),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.008s,PASSED
Statement - email = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Details/email),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.004s,PASSED
"Statement - element1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(name, 30)",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.045s,PASSED
"Statement - element2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(position, 30)",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.023s,PASSED
"Statement - element3 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(mobile, 30)",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.024s,PASSED
"Statement - element4 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(email, 30)",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.021s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.021s,PASSED
Statement - js = driver,Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.024s,PASSED
"Statement - value1 = js.executeScript(""return arguments[0].value"", element1).toString()",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.012s,PASSED
Statement - userdetail.add(value1),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.002s,PASSED
"Statement - value2 = js.executeScript(""return arguments[0].value"", element2).toString()",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.007s,PASSED
Statement - userdetail.add(value2),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.001s,PASSED
"Statement - value4 = js.executeScript(""return arguments[0].value"", element4).toString()",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.007s,PASSED
Statement - userdetail.add(value4),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.001s,PASSED
"Statement - value3 = js.executeScript(""return arguments[0].value"", element3).toString()",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.008s,PASSED
Statement - userdetail.add(value3),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.001s,PASSED
"Statement - duty = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Details/on_duty), 30)",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.045s,PASSED
"Statement - value5 = js.executeScript(""return $(""[name='state']"").val()"", duty).toString()",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.035s,PASSED
Statement - println(value5),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.001s,PASSED
"Statement - If (value5 == ""1"")",Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.003s,PASSED
Statement - println(userdetail),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.003s,PASSED
Statement - If (userinfo == userdetail),Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.006s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:37:06,2019-04-17 14:37:06,0.278s,PASSED
