Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:06,2019-04-17 11:38:08,2.003s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 11:38:08,2019-04-17 11:38:08,0.147s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:08,2019-04-17 11:38:09,1.001s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:38:09,2019-04-17 11:38:09,0.105s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:09,2019-04-17 11:38:10,1.006s,PASSED
Statement - Try,Chrome 73.0.3683.75,,2019-04-17 11:38:10,2019-04-17 11:38:10,0.095s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 11:38:10,2019-04-17 11:38:10,0.006s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/002_Add_user",Chrome 73.0.3683.75,信息全部输入，或者支持不填写邮箱，保存成功。最后通过搜索刚才添加的用户，验证是否成功添加。,2019-04-17 11:38:12,2019-04-17 11:38:28,16.500s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 11:38:12,2019-04-17 11:38:12,0.008s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 11:38:12,2019-04-17 11:38:12,0.002s,NOT_RUN
comment,Chrome 73.0.3683.75,,2019-04-17 11:38:12,2019-04-17 11:38:12,0.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:38:12,2019-04-17 11:38:12,0.081s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:12,2019-04-17 11:38:13,1.002s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:13,2019-04-17 11:38:14,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:38:14,2019-04-17 11:38:14,0.132s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:14,2019-04-17 11:38:15,1.005s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:38:15,2019-04-17 11:38:15,0.113s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:15,2019-04-17 11:38:16,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:38:16,2019-04-17 11:38:16,0.088s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:16,2019-04-17 11:38:17,1.002s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 11:38:17,2019-04-17 11:38:18,0.135s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:18,2019-04-17 11:38:19,1.002s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 11:38:19,2019-04-17 11:38:19,0.135s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:19,2019-04-17 11:38:20,1.002s,PASSED
